feature,importance_gain,importance_split
TC_Total_cadelantosefectivo_delta_mean_8,0.0,0
cinversion1_delta_mean_8,0.0,0
cprestamos_hipotecarios_delta_mean_8,0.0,0
cseguro_auto_delta_mean_8,0.0,0
cseguro_vivienda_delta_mean_8,0.0,0
cpayroll2_trx_delta_mean_8,0.0,0
cseguro_auto_delta_2,0.0,0
Master_madelantodolares,0.0,0
Master_madelantopesos,0.0,0
ctarjeta_master_descuentos_delta_2,0.0,0
Master_delinquency,0.0,0
cpayroll2_trx_delta_2,0.0,0
ccaja_seguridad_delta_2,0.0,0
cpagodeservicios_delta_2,0.0,0
ccajeros_propios_descuentos_delta_2,0.0,0
ccuenta_corriente_delta_mean_4,0.0,0
cprestamos_prendarios_delta_mean_4,0.0,0
ccheques_depositados_rechazados_delta_3,0.0,0
ccheques_emitidos_delta_3,0.0,0
slope_Visa_madelantodolares_6_window,0.0,0
slope_TC_Total_madelantodolares_6_window,0.0,0
tsolo_tarjetas_delta_3,0.0,0
talta_mora_delta_3,0.0,0
TC_Total_cadelantosefectivo_delta_3,0.0,0
Visa_cadelantosefectivo_delta_3,0.0,0
cinversion1_delta_2,0.0,0
cplazo_fijo_delta_2,0.0,0
cseguro_auto,0.0,0
Master_cadelantosefectivo,0.0,0
cseguro_vida_delta_2,0.0,0
cinversion2_delta_2,0.0,0
slope_Master_madelantodolares_6_window,0.0,0
slope_TC_Total_madelantopesos_6_window,0.0,0
cpayroll2_trx,0.0,0
mpayroll2,0.0,0
ccuenta_corriente_delta_mean_8,0.0,0
mplazo_fijo_pesos,0.0,0
cliente_vip_delta_mean_8,0.0,0
Master_mpagosdolares,0.0,0
cpayroll2_trx_delta_3,0.0,0
ccaja_seguridad_delta_3,0.0,0
cseguro_accidentes_personales_delta_3,0.0,0
cseguro_vivienda_delta_3,0.0,0
cseguro_vida_delta_3,0.0,0
cseguro_auto_delta_3,0.0,0
cinversion2_delta_3,0.0,0
cinversion1_delta_3,0.0,0
slope_mprestamos_hipotecarios_6_window,0.0,0
cprestamos_hipotecarios_delta_3,0.0,0
cprestamos_prendarios_delta_3,0.0,0
ctarjeta_visa_delta_3,0.0,0
slope_mplazo_fijo_pesos_6_window,0.0,0
tsolo_tarjetas,0.0,0
tvip_baja_actividad,0.0,0
slope_mcuenta_corriente_adicional_6_window,0.0,0
tsin_inversiones_delta_3,0.0,0
cliente_vip_delta_mean_4,0.0,0
tvip_baja_actividad_delta_3,0.0,0
cinversion2_delta_mean_4,0.0,0
cprestamos_hipotecarios_delta_mean_4,0.0,0
cinversion1_delta_mean_4,0.0,0
slope_mpayroll2_6_window,0.0,0
cprestamos_prendarios_delta_2,0.0,0
ctarjeta_master_descuentos_delta_mean_4,0.0,0
cpayroll2_trx_delta_mean_4,0.0,0
cseguro_vida_delta_mean_4,0.0,0
cseguro_auto_delta_mean_4,0.0,0
ccuenta_corriente_delta_2,0.0,0
ctarjeta_master_descuentos_delta_3,0.0,0
cliente_vip_delta_2,0.0,0
tcuentas_delta_2,0.0,0
Visa_cadelantosefectivo_delta_2,0.0,0
TC_Total_cadelantosefectivo_delta_2,0.0,0
ccheques_emitidos_rechazados_delta_2,0.0,0
Master_cadelantosefectivo_delta_2,0.0,0
cforex_buy,0.0,0
cforex_sell_delta_2,0.0,0
ccheques_depositados_delta_2,0.0,0
ccheques_depositados_rechazados_delta_2,0.0,0
slope_minversion1_dolares_6_window,0.0,0
cprestamos_hipotecarios_delta_2,0.0,0
TC_Total_cadelantosefectivo,0.0,0
cliente_vip_delta_3,0.0,0
ccuenta_corriente_delta_3,0.0,0
tsolo_tarjetas_delta_2,0.0,0
tvip_baja_actividad_delta_2,0.0,0
tsin_inversiones_delta_2,0.0,0
Visa_cadelantosefectivo_delta_mean_4,0.0,0
Master_cadelantosefectivo_delta_mean_4,0.0,0
TC_Total_madelantopesos,0.0,0
TC_Total_madelantodolares,0.0,0
Visa_madelantodolares,0.0,0
tvip_baja_actividad_delta_mean_4,0.0,0
tsolo_tarjetas_delta_mean_4,0.0,0
TC_Total_cadelantosefectivo_delta_mean_4,0.0,0
ctarjeta_visa_descuentos,0.0,0
mcajeros_propios_descuentos,0.0,0
mcuenta_corriente_adicional,0.0,0
ccheques_emitidos_rechazados_delta_mean_8,0.0,0
ccuenta_corriente,0.0,0
tsolo_tarjetas_delta_mean_8,0.0,0
cliente_vip,0.0,0
tvip_baja_actividad_delta_mean_8,0.0,0
