feature,importance_gain,importance_split
chomebanking_transacciones,842.9186916351318,37
slope_mcomisiones_6_window,842.1861310005188,40
Visa_cconsumos_delta_mean_8,824.2068405151367,38
ccaja_ahorro_delta_2,824.1055030822754,6
Visa_mconsumospesos,813.4724950790405,48
slope_Visa_mfinanciacion_limite_6_window,811.8876252174377,47
TC_Total_status,810.809003829956,21
ccanales_activos_delta_mean_4,780.7413258552551,20
cproductos_uso_ratio,767.9865417480469,38
slope_mingresos_por_producto_ratio_6_window,767.3897275924683,32
ctarjeta_master_delta_mean_4,740.2844018936157,6
slope_mtransferencias_emitidas_6_window,739.5007367134094,40
ccanales_activos_delta_2,721.8051991462708,22
chomebanking_transacciones_delta_3,719.5360994338989,34
ccajas_transacciones_delta_mean_8,719.3817753791809,38
ctransferencias_emitidas_delta_mean_8,706.2207775115967,37
ctarjeta_visa_debitos_automaticos_delta_mean_4,700.1674237251282,23
tes_empleado_delta_mean_8,677.8411989212036,22
ctarjeta_visa_transacciones_delta_mean_4,674.4994840621948,29
mcomisiones,673.4479713439941,36
slope_TC_Total_mpagominimo_6_window,669.1286735534668,36
cplazo_fijo,667.325644493103,23
ccallcenter_transacciones_delta_3,663.351146697998,14
muso_credito_ratio,659.4937260150909,24
slope_Visa_mlimitecompra_6_window,659.416759967804,37
ccomisiones_mantenimiento,655.6396832466125,19
Master_Fvencimiento,650.1477527618408,60
ccuenta_debitos_automaticos,645.5273213386536,16
chomebanking_transacciones_delta_mean_8,645.4703068733215,29
ctrx_quarter_delta_3,643.7423505783081,39
ctransferencias_recibidas_delta_mean_8,638.2520930767059,36
Master_cconsumos_delta_mean_8,630.7741882801056,26
slope_muso_credito_ratio_6_window,629.9641313552856,37
slope_mttarjeta_visa_debitos_automaticos_6_window,626.441330909729,46
mcomisiones_ratio,622.3463621139526,39
Visa_mlimitecompra,609.7281560897827,41
TC_Total_cconsumos_delta_mean_4,608.7905178070068,23
slope_Master_mfinanciacion_limite_6_window,592.3184275627136,44
slope_mextracciones_ratio_6_window,584.39311170578,44
slope_TC_Total_mlimitecompra_6_window,566.3828349113464,19
cdiversificacion_financiera,562.8657817840576,11
slope_mcaja_ahorro_dolares_6_window,544.2558007240295,40
tcallcenter_delta_2,538.0659656524658,3
Visa_fultimo_cierre,535.7125885486603,40
slope_Visa_mpagospesos_6_window,527.3809509277344,41
cdias_mora_promedio_delta_2,524.2114844322205,15
slope_msaldo_total_dolares_6_window,521.4535179138184,26
slope_Master_mpagominimo_6_window,514.8149328231812,27
mcaja_ahorro_dolares,510.84716749191284,34
ctarjeta_master,503.59975957870483,4
slope_mautoservicio_6_window,494.8298568725586,33
Master_fultimo_cierre,492.36046147346497,33
ctarjeta_debito_transacciones_delta_2,483.46901082992554,33
slope_mmargen_por_producto_6_window,482.585063457489,31
slope_TC_Total_mconsumototal_6_window,481.8706820011139,26
mprestamos_hipotecarios,480.0254592895508,23
cmobile_app_trx_delta_mean_8,476.56291007995605,33
chomebanking_transacciones_delta_mean_4,475.0377902984619,32
slope_mactivos_margen_6_window,474.37833070755005,41
thomebanking_delta_mean_8,473.6327486038208,35
mextracciones_ratio,472.43600034713745,32
slope_mingresos_mensuales_6_window,469.81776237487793,20
cextraccion_autoservicio,467.9925355911255,10
slope_Visa_msaldopesos_6_window,465.727162361145,33
slope_TC_Total_mpagado_6_window,465.51954460144043,24
Master_mlimitecompra,464.7511467933655,25
cmobile_app_trx,462.70845222473145,36
slope_mmargen_total_6_window,457.52198910713196,34
ccallcenter_transacciones_delta_2,456.6195454597473,18
tcallcenter_delta_3,452.51934814453125,8
slope_mmargen_por_cuenta_ratio_6_window,451.48672008514404,38
slope_Master_mpagospesos_6_window,450.8909010887146,40
mcheques_emitidos_rechazados,449.2752513885498,12
mplazo_fijo_dolares,441.06431341171265,16
ccanales_activos_delta_3,440.3870496749878,17
slope_Visa_mconsumototal_6_window,438.97056436538696,31
cactividad_total_delta_3,437.7745885848999,33
slope_mrentabilidad_vs_margen_6_window,437.55101776123047,32
slope_msaldo_total_pesos_6_window,433.85723066329956,31
cliente_antiguedad_delta_3,432.82750606536865,14
tcuentas,430.8822937011719,18
ccallcenter_transacciones_delta_mean_8,427.67240810394287,26
cuso_tarjeta_ratio_delta_2,426.7774796485901,18
slope_mrentabilidad_6_window,425.0711717605591,35
mlimite_tarjetas_total,421.7827320098877,20
ccanales_activos_delta_mean_8,421.10552740097046,34
mttarjeta_visa_debitos_automaticos,420.8753385543823,36
slope_msaldo_total_6_window,415.7303628921509,35
cproductos_delta_3,414.6046757698059,15
cuso_digital_ratio_delta_mean_8,409.2838635444641,32
slope_mpayroll_6_window,407.33360958099365,21
Visa_cconsumos,406.8817982673645,32
cplazo_fijo_delta_mean_8,405.81067633628845,21
ctransferencias_emitidas,404.5600609779358,21
slope_mextraccion_autoservicio_6_window,403.17791080474854,32
ccajas_transacciones_delta_3,393.182678937912,9
slope_TC_Total_mfinanciacion_limite_6_window,389.9016261100769,21
Master_msaldopesos,385.15626978874207,26
cproductos_uso_ratio_delta_3,383.473427772522,29
mtransferencias_emitidas,382.655508518219,25
cuso_digital_ratio_delta_3,376.81192207336426,31
Visa_cconsumos_delta_mean_4,376.1761054992676,27
slope_Visa_mconsumosdolares_6_window,374.60393047332764,32
cpayroll_trx_delta_mean_8,365.1608376502991,22
cactividad_total_delta_mean_8,361.2603569030762,22
slope_Master_msaldopesos_6_window,360.60421895980835,21
ctarjeta_debito_transacciones_delta_mean_8,353.02896213531494,35
ctarjeta_debito_transacciones_delta_mean_4,351.7503318786621,21
cextraccion_autoservicio_delta_mean_8,350.97835755348206,30
cprestamos_hipotecarios,348.7094974517822,8
TC_Total_status_delta_mean_4,346.7383861541748,5
cproductos_uso_ratio_delta_mean_8,344.84566164016724,22
cdiversificacion_financiera_delta_mean_8,343.9060983657837,13
ccallcenter_transacciones,341.2500009536743,13
slope_TC_Total_mpagospesos_6_window,340.88380098342896,22
cuso_tarjeta_ratio_delta_mean_8,338.034951210022,22
ccajas_transacciones_delta_mean_4,336.4767141342163,14
cuso_digital_ratio_delta_2,332.9402508735657,33
Visa_msaldototal,332.40454053878784,18
slope_TC_Total_mconsumospesos_6_window,330.1728789806366,25
cproductos_uso_ratio_delta_2,329.6031303405762,24
ctarjeta_master_delta_mean_8,324.06980085372925,10
talta_mora_delta_mean_8,320.1760458946228,11
cactividad_total_delta_mean_4,318.3114080429077,29
ccajas_otras_delta_mean_8,314.88419342041016,24
ctransferencias_emitidas_delta_mean_4,313.4446382522583,20
tmora_total_delta_mean_8,305.76395988464355,10
tcallcenter_delta_mean_4,305.5333843231201,12
slope_matm_6_window,305.10488080978394,28
slope_Master_mlimitecompra_6_window,304.46730279922485,22
chomebanking_transacciones_delta_2,304.44485569000244,22
tes_empleado_delta_2,302.6159973144531,1
Master_msaldototal,301.29819202423096,10
ctarjeta_visa_delta_mean_4,301.1058006286621,4
ctarjeta_visa_transacciones_delta_3,297.9491219520569,19
Master_mconsumospesos,297.28028869628906,12
cuso_tarjeta_ratio_delta_3,296.89737606048584,18
slope_TC_Total_mconsumosdolares_6_window,296.1088194847107,24
ctarjeta_visa_debitos_automaticos_delta_3,294.8368892669678,15
cextraccion_autoservicio_delta_3,291.1959915161133,22
Visa_status_delta_3,290.2750096321106,11
slope_TC_Total_msaldopesos_6_window,289.09873056411743,16
ccajas_consultas_delta_mean_4,287.47966718673706,6
ccajas_consultas_delta_2,286.58493089675903,9
ctransferencias_recibidas_delta_3,284.4196825027466,16
ccallcenter_transacciones_delta_mean_4,282.3382353782654,15
slope_Visa_msaldodolares_6_window,279.78609919548035,28
Master_cconsumos_delta_3,275.21636390686035,12
TC_Total_cconsumos_delta_3,274.7102098464966,21
tmobile_app_delta_mean_4,268.47209548950195,13
Master_Finiciomora,268.1217885017395,6
TC_Total_cconsumos_delta_2,268.082471370697,18
Visa_status_delta_2,267.9480628967285,6
tsin_transacciones_mes,266.8624954223633,3
cuso_digital_ratio_delta_mean_4,266.5142002105713,24
ctarjeta_debito,261.74755096435547,21
Visa_mconsumosdolares,259.185311794281,22
catm_trx_delta_mean_8,257.7867603302002,23
slope_mpagomiscuentas_6_window,257.14339876174927,23
TC_Total_status_delta_3,256.30190658569336,5
slope_mcuenta_debitos_automaticos_6_window,254.25339078903198,23
cdias_mora_promedio_delta_mean_4,252.0270709991455,6
Visa_cconsumos_delta_3,249.05523777008057,19
ccajas_depositos,244.15967893600464,19
slope_Master_mconsumosdolares_6_window,241.6240611076355,15
ctransferencias_recibidas,241.14240956306458,21
catm_trx_other_delta_mean_8,239.27619123458862,20
ccajas_consultas,238.6667070388794,12
Visa_cconsumos_delta_2,235.2965087890625,19
Visa_mconsumototal,232.00987792015076,20
slope_mlimite_tarjetas_total_6_window,231.85831308364868,20
Master_cconsumos_delta_mean_4,230.4477300643921,12
slope_Master_mconsumototal_6_window,230.2128701210022,20
slope_Master_msaldototal_6_window,228.90984106063843,19
mflujo_cheques,228.67492723464966,13
tusa_app_o_homebanking_delta_mean_8,224.91997170448303,21
slope_mforex_buy_6_window,224.80051040649414,18
TC_Total_cconsumos,224.44718027114868,16
