feature,importance_gain,importance_split
slope_Master_mconsumospesos_6_window,316.6864501237869,46
Visa_mlimitecompra,314.4069889783859,40
mdeuda_tarjetas_total,312.4349408149719,20
mextracciones_ratio,307.69881069660187,44
tes_empleado_delta_mean_8,307.1686716079712,12
ctrx_30d_delta_mean_4,302.73857021331787,25
Visa_cconsumos_delta_mean_8,302.43734097480774,41
ctarjeta_visa_delta_mean_8,300.0164375305176,13
slope_mrentabilidad_media_mensual_6_window,299.89030933380127,39
ctrx_quarter_delta_3,296.57852125167847,28
Visa_msaldototal,294.9006893634796,17
slope_Visa_mconsumosdolares_6_window,293.75867986679077,35
Visa_fultimo_cierre,292.33696806430817,45
ccallcenter_transacciones_delta_mean_4,291.5108497142792,39
slope_mrentabilidad_annual_6_window,291.1199314594269,28
slope_Visa_fechaalta_6_window,289.73790097236633,39
ccomisiones_mantenimiento_delta_mean_4,289.0997598171234,24
Master_mpagominimo,288.28101658821106,27
mtransferencias_emitidas,278.80265712738037,27
ccaja_ahorro_delta_2,275.5650978088379,6
mcheques_emitidos_rechazados,274.5574469566345,13
cactividad_total_delta_mean_4,271.0667507648468,27
slope_mtransferencias_recibidas_6_window,270.84472274780273,34
chomebanking_transacciones_delta_mean_8,270.4953992366791,31
slope_mcaja_ahorro_dolares_6_window,268.0715101957321,37
ctrx_180d,267.8326896429062,37
ctarjeta_master_transacciones,267.5846701860428,26
slope_Visa_fultimo_cierre_6_window,263.4612501859665,34
slope_mautoservicio_6_window,262.4669897556305,35
ctarjeta_visa_transacciones_delta_mean_4,261.6958022117615,18
slope_Master_mfinanciacion_limite_6_window,256.78634083271027,32
slope_mttarjeta_visa_debitos_automaticos_6_window,255.7408915758133,35
slope_Master_Fvencimiento_6_window,254.91841077804565,39
mautoservicio,252.72759592533112,17
slope_Master_mpagospesos_6_window,250.8166800737381,36
Visa_cconsumos_delta_2,249.00514101982117,35
cuso_tarjeta_ratio_delta_2,248.48111152648926,36
mprestamos_prendarios,248.41023981571198,34
ccallcenter_transacciones,243.20078992843628,21
slope_matm_other_6_window,243.110209941864,35
ctrx_30d_delta_2,241.26339888572693,29
Visa_mconsumototal,238.4338402748108,29
slope_Visa_mconsumospesos_6_window,238.17987966537476,31
ccajas_depositos,238.0962209701538,23
ccajas_transacciones_delta_mean_8,236.55427885055542,36
cpagomiscuentas,233.3749876022339,19
slope_mpagomiscuentas_6_window,232.57374835014343,33
slope_mcuenta_debitos_automaticos_6_window,229.68287992477417,33
slope_mcaja_ahorro_6_window,226.71575140953064,28
cuso_tarjeta_ratio_delta_mean_8,226.59948134422302,33
ccanales_activos_delta_mean_8,225.13983917236328,33
ctrx_30d_delta_3,223.16263151168823,31
slope_Master_msaldopesos_6_window,220.06315779685974,29
mflujo_cheques,219.9526903629303,25
slope_mcomisiones_ratio_6_window,219.37706971168518,35
slope_Master_msaldototal_6_window,219.23837971687317,33
mttarjeta_visa_debitos_automaticos,216.7892506122589,30
ctrx_180d_delta_2,216.47543120384216,25
slope_Master_mpagominimo_6_window,214.55535197257996,27
TC_Total_mconsumosdolares,214.24929082393646,33
TC_Total_mconsumototal,213.7930464744568,22
mplazo_fijo_dolares,210.32700836658478,20
mprestamos_hipotecarios,209.31275236606598,25
slope_Visa_mpagospesos_6_window,207.0332007408142,30
cproductos_uso_ratio_delta_mean_8,207.01828956604004,25
catm_trx_delta_mean_8,204.68791091442108,29
ctransferencias_emitidas_delta_mean_8,204.24609923362732,35
slope_Master_fechaalta_6_window,203.3489112854004,29
cdias_mora_promedio_delta_2,201.70715308189392,12
slope_mpasivos_margen_6_window,200.44568967819214,32
slope_TC_Total_mpagado_6_window,200.23708963394165,31
Visa_cconsumos_delta_mean_4,198.99839043617249,28
cuso_tarjeta_ratio_delta_3,197.58456134796143,31
ccuenta_debitos_automaticos_delta_mean_8,197.5575897693634,30
slope_TC_Total_mconsumospesos_6_window,195.25658011436462,23
ctarjeta_visa_transacciones_delta_3,194.97486019134521,20
ccajas_consultas,192.47151863574982,19
ctarjeta_debito,192.33484017848969,29
slope_Visa_mlimitecompra_6_window,190.67971968650818,21
cactividad_total_delta_mean_8,187.60553789138794,27
ctarjeta_visa_debitos_automaticos,187.59891963005066,28
ctarjeta_visa_transacciones_delta_2,185.10639882087708,18
ctarjeta_visa_delta_mean_4,181.44998788833618,4
slope_mmargen_por_producto_6_window,180.64290118217468,27
slope_matm_6_window,180.14198899269104,27
slope_msaldo_total_6_window,179.4991910457611,24
slope_TC_Total_mfinanciacion_limite_6_window,178.7246491909027,25
slope_Master_fultimo_cierre_6_window,178.04197072982788,30
cuso_digital_ratio_delta_2,173.61888003349304,29
cuso_tarjeta_ratio_delta_mean_4,172.67360138893127,27
slope_mpagodeservicios_6_window,172.4819095134735,30
Visa_cconsumos_delta_3,172.2365505695343,18
slope_Visa_mconsumototal_6_window,171.86788988113403,22
ctarjeta_debito_transacciones,171.86257874965668,23
