feature,importance_gain,importance_split
ccheques_emitidos_rechazados,76.44492983818054,11
minversion_ratio,76.10571026802063,15
mpagodeservicios,67.78342270851135,19
mcaja_ahorro_adicional,66.85135960578918,11
Master_mpagosdolares,66.19792968034744,16
Master_mpagado,64.66008007526398,18
mforex_buy,64.3075692653656,18
Master_mconsumosdolares,63.83663010597229,12
TC_Total_msaldodolares,62.038180470466614,15
minversion2,60.121849715709686,24
TC_Total_mpagosdolares,59.884560227394104,18
cpagodeservicios,58.42149996757507,12
catm_trx_other,57.467670917510986,14
mcheques_depositados,57.36095708608627,16
TC_Total_Finiciomora,52.36017602682114,15
ctarjeta_master_debitos_automaticos,47.82228982448578,11
ccajas_extracciones,44.97281050682068,12
cforex,43.526062309741974,14
Visa_mpagosdolares,40.69361585378647,11
tcallcenter,40.2853000164032,4
Master_madelantopesos,38.62295055389404,3
ccheques_depositados,38.44635057449341,8
tes_empleado,35.27589988708496,2
ctarjeta_master,31.55180025100708,3
tmobile_app,30.857270002365112,7
mcheques_depositados_rechazados,30.430891633033752,9
cinversion2,29.464279413223267,7
cprestamos_prendarios,28.283830165863037,3
cinversion1,27.29298973083496,6
ctarjeta_master_descuentos,26.326420187950134,7
cforex_sell,25.724069952964783,6
cliente_vip,20.69358664751053,8
cprestamos_hipotecarios,19.44768977165222,3
ccheques_depositados_rechazados,18.37220001220703,4
TC_Total_cadelantosefectivo,13.195250034332275,2
Visa_madelantopesos,13.036719679832458,5
tsin_inversiones,12.632550239562988,2
mcajeros_propios_descuentos,12.548601925373077,5
cforex_buy,12.20946991443634,5
cempleadores,11.191629886627197,3
Master_msaldodolares,10.69133996963501,2
mtarjeta_master_descuentos,10.35036015510559,4
ctarjeta_visa_descuentos,9.792309999465942,4
ccajeros_propios_descuentos,9.200519919395447,4
Master_cadelantosefectivo,6.808689832687378,2
Visa_cadelantosefectivo,3.279163956642151,2
minversion1_dolares,3.179279923439026,2
TC_Total_madelantopesos,2.515810012817383,1
cseguro_auto,1.4842699766159058,1
tcuentas,0.0,0
mcuenta_corriente_adicional,0.0,0
mplazo_fijo_pesos,0.0,0
ccuenta_corriente,0.0,0
mpayroll2,0.0,0
cpayroll2_trx,0.0,0
Master_delinquency,0.0,0
Master_madelantodolares,0.0,0
Visa_madelantodolares,0.0,0
TC_Total_madelantodolares,0.0,0
tsolo_tarjetas,0.0,0
tvip_baja_actividad,0.0,0
